trip_id,arrival_time,departure_time,stop_id,stop_sequence
WF_5,11:39:00,11:39:00,33,20
WF_5,11:40:00,11:40:00,34,21
WF_5,11:46:00,11:46:00,35_80,22
WF_5,11:57:00,11:57:00,36,23
WF_5,12:01:00,12:01:00,37,24
WF_5,12:07:00,12:07:00,38_73,25
WF_5,12:16:00,12:16:00,40_71,26
WF_5,12:20:00,12:20:00,41_68,27
WF_5,12:22:00,12:22:00,42,28
WF_5,12:25:00,12:25:00,43_67,29
WF_5,12:32:00,12:32:00,44_66,30
WF_5,12:33:00,12:33:00,46,31
WF_5,12:34:00,12:34:00,47,32
WF_5,12:35:00,12:35:00,45,33
WF_5,12:41:00,12:41:00,48_65,34
WF_5,12:42:00,12:42:00,49_64,35
WF_5,12:49:00,12:49:00,50_63,36
WF_5,12:50:00,12:50:00,51,37
WF_5,12:51:00,12:51:00,53_60,38
WF_5,12:56:00,12:56:00,54_59,39
WF_5,13:00:00,13:00:00,55_58,40
WF_5,13:08:00,13:08:00,56,41
WF_6,12:00:00,12:00:00,106_171,1
WF_6,12:05:00,12:05:00,14,2
WF_6,12:06:00,12:06:00,16,3
WF_6,12:07:00,12:07:00,17,4
WF_6,12:08:00,12:08:00,18,5
WF_6,12:09:00,12:09:00,19,6
WF_6,12:10:00,12:10:00,20,7
WF_6,12:12:00,12:12:00,21,8
WF_6,12:13:00,12:13:00,22,9
WF_6,12:14:00,12:14:00,23,10
WF_6,12:15:00,12:15:00,24,11
WF_6,12:16:00,12:16:00,25,12
WF_6,12:17:00,12:17:00,26,13
WF_6,12:18:00,12:18:00,27_92,14
WF_6,12:20:00,12:20:00,28,15
WF_6,12:22:00,12:22:00,29_88,16
WF_6,12:24:00,12:24:00,30,17
WF_6,12:26:00,12:26:00,31,18
WF_6,12:38:00,12:38:00,32,19
WF_6,12:39:00,12:39:00,33,20
WF_6,12:40:00,12:40:00,34,21
WF_6,12:46:00,12:46:00,35_80,22
WF_6,12:57:00,12:57:00,36,23
WF_6,13:01:00,13:01:00,37,24
WF_6,13:07:00,13:07:00,38_73,25
WF_6,13:16:00,13:16:00,40_71,26
WF_6,13:20:00,13:20:00,41_68,27
WF_6,13:22:00,13:22:00,42,28
WF_6,13:25:00,13:25:00,43_67,29
WF_6,13:32:00,13:32:00,44_66,30
WF_6,13:33:00,13:33:00,46,31
WF_6,13:34:00,13:34:00,47,32
WF_6,13:35:00,13:35:00,45,33
WF_6,13:41:00,13:41:00,48_65,34
WF_6,13:42:00,13:42:00,49_64,35
WF_6,13:49:00,13:49:00,50_63,36
WF_6,13:50:00,13:50:00,51,37
WF_6,13:51:00,13:51:00,53_60,38
WF_6,13:56:00,13:56:00,54_59,39
WF_6,14:00:00,14:00:00,55_58,40
WF_6,14:08:00,14:08:00,56,41
WF_7,13:00:00,13:00:00,106_171,1
WF_7,13:05:00,13:05:00,14,2
WF_7,13:06:00,13:06:00,16,3
WF_7,13:07:00,13:07:00,17,4
WF_7,13:08:00,13:08:00,18,5
WF_7,13:09:00,13:09:00,19,6
WF_7,13:10:00,13:10:00,20,7
WF_7,13:12:00,13:12:00,21,8
WF_7,13:13:00,13:13:00,22,9
WF_7,13:14:00,13:14:00,23,10
WF_7,13:15:00,13:15:00,24,11
WF_7,13:16:00,13:16:00,25,12
WF_7,13:17:00,13:17:00,26,13
WF_7,13:18:00,13:18:00,27_92,14
WF_7,13:20:00,13:20:00,28,15
WF_7,13:22:00,13:22:00,29_88,16
WF_7,13:24:00,13:24:00,30,17
WF_7,13:26:00,13:26:00,31,18
WF_7,13:38:00,13:38:00,32,19
WF_7,13:39:00,13:39:00,33,20
WF_7,13:40:00,13:40:00,34,21
